# E F F_low F_up
# PAMELA CATO
# 
# E = E in eV
# F = Flux in (m^2 sr s ev)^-1
# F_low = lower error
# F_up = upper error
# 
77614000000 1.21E-010 1.31381125E-011 1.31761148E-011
160120000000 1.52E-011 2.5219833E-012 2.5239651E-012
342880000000 1.78E-012 3.151587E-013 3.153173E-013
650420000000 3.63E-013 6.11049097863666E-014 6.13091347190612E-014
1179100000000 6.31E-014 9.98859850029022E-015 1.00862331918313E-014
2480200000000 9.98E-015 1.6603099108299E-015 1.69679963460628E-015
5472700000000 1.32E-015 2.29392676430613E-016 2.46416314394969E-016
11061000000000 2.29E-016 5.35988805853257E-017 6.57026635685343E-017
